id,picking_slip_id,printed_username,inspected_username,packed_username,shipped_username,held_username,cancelled_username,refunded_username,confirmed_username,printed_at,inspected_at,packed_at,shipped_at,delivered_at,returned_at,cancelled_at,refunded_at,held_at,confirmed_at,held_reason
1,1,chloe93(12810),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 11:44:32,2022-12-05 00:39:38,2022-12-05 00:55:19,2022-12-05 03:15:45,,,,,,,
2,2,kay_(65298),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 04:42:52,2022-12-02 04:51:01,2022-12-02 09:02:10,,,,,,,
3,3,Kyu(5850),jason_(38952),jason_(38952),,,,chris,system(0),2022-12-01 02:39:37,2022-12-05 00:37:59,2022-12-16 02:58:19,2022-12-16 02:57:53,,,,2022-12-05 01:12:50,,,
4,4,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-01 02:39:37,2022-12-05 00:40:09,2022-12-05 00:57:33,2022-12-05 03:15:45,,,,,,,
5,5,,,kay_(65298),,,,,system(0),2022-12-16 02:58:04,2022-12-16 02:58:11,2022-12-29 18:30:37,2022-12-16 02:57:53,,,,,,,
6,6,kay_(65298),,,,,,,system(0),2023-02-07 13:02:10,2022-12-16 02:58:11,2022-12-16 02:58:19,2022-12-16 02:57:53,,,,,,,
7,7,ming(835),Bern(25814),Bern(25814),,,,kay_(65298),system(0),2023-03-22 08:47:40,2022-12-14 07:43:54,2022-12-14 07:44:06,2022-12-15 06:52:00,,,,2022-12-30 22:15:40,,,
8,8,kay_(65298),Dobby(41124),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-01 06:05:59,2022-12-05 06:22:30,2022-12-05 07:53:17,,,,,,,
9,9,kay_(65298),Dobby(41124),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-01 06:06:31,2022-12-05 06:12:40,2022-12-05 07:53:17,,,,,,,
10,10,kay_(65298),,,,,,,system(0),2023-02-07 13:02:10,2022-12-16 02:58:11,2022-12-16 02:58:19,2022-12-16 02:57:53,,,,,,,
11,11,,,,,,,,system(0),2022-12-16 02:58:04,2022-12-16 02:58:11,2022-12-16 02:58:19,2022-12-16 02:57:53,,,,,,,
12,12,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-01 02:39:37,2022-12-05 00:40:00,2022-12-05 00:56:57,2022-12-05 03:15:45,,,,,,,
13,13,kay_(65298),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-02 04:39:13,2022-12-05 06:17:30,2022-12-05 07:53:17,,,,,,,
14,14,kay_(65298),Bern(25814),Bern(25814),,,,,system(0),2023-02-07 13:02:10,2022-12-14 07:45:22,2022-12-14 07:45:33,2022-12-15 06:52:00,,,,2022-12-05 21:21:25,,,
15,15,Kyu(5850),Kyu(5850),,,,,,system(0),2022-12-06 05:42:29,2022-12-06 05:43:34,2022-12-16 02:58:19,2022-12-16 02:57:53,,,,,,,
16,16,kay_(65298),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 04:42:21,2022-12-05 06:21:17,2022-12-05 07:53:17,,,,,,,
17,17,Kyu(5850),jason_(38952),jason_(38952),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:38:37,2022-12-05 01:16:35,2022-12-05 03:15:45,,,,,,,
18,18,kay_(65298),hanpoom logi(75733),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 04:32:11,2022-12-05 06:22:14,2022-12-05 07:53:17,,,,,,,
19,19,,,,,,,,system(0),2022-12-16 02:58:04,,,,,,,,,,
20,20,,,,,,,,system(0),2022-12-16 02:58:04,2022-12-16 02:58:11,2022-12-16 02:58:19,2022-12-16 02:57:53,,,,,,,
21,21,kay_(65298),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-05 00:24:36,2022-12-05 04:53:55,2022-12-05 07:53:17,,,,,,,
22,22,ming(835),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-03-22 08:48:12,2022-12-02 05:53:18,2022-12-05 06:16:51,2022-12-05 07:53:17,,,,,,,
23,23,Kyu(5850),jason_(38952),jason_(38952),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:38:28,2022-12-05 01:15:58,2022-12-05 03:15:45,,,,,,,
24,24,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:42:59,2022-12-05 01:07:51,2022-12-05 03:15:45,,,,,,,
25,25,ming(835),hanpoom logi(75733),jason_(38952),,,,,system(0),2023-03-22 08:48:12,2022-12-02 04:28:24,2022-12-05 06:13:07,2022-12-05 07:53:17,,,,,,,
26,26,chloe93(12810),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 11:52:25,2022-12-05 00:42:50,2022-12-05 01:06:55,2022-12-05 03:15:45,,,,,,,
27,27,kay_(65298),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-02 05:13:08,2022-12-05 06:10:48,2022-12-05 07:53:17,,,,,,,
28,28,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:42:40,2022-12-05 01:06:24,2022-12-05 03:15:45,,,,,,,
29,29,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:42:31,2022-12-05 01:05:52,2022-12-05 03:15:45,,,,,,,
30,30,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:42:22,2022-12-05 01:05:26,2022-12-05 03:15:45,,,,,,,
31,31,kay_(65298),hanpoom logi(75733),hanpoom logi(75733),,,,,system(0),2023-02-07 13:02:10,2022-12-06 05:07:24,2022-12-06 06:03:11,2022-12-06 06:37:38,,,,,,,
32,32,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:42:12,2022-12-05 01:04:58,2022-12-05 03:15:45,,,,,,,
33,33,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:42:05,2022-12-05 01:04:30,2022-12-05 03:15:45,,,,,,,
34,34,kay_(65298),jason_(38952),Kyu(5850),,,,,system(0),2023-02-07 13:02:10,2022-12-05 00:41:30,2022-12-05 01:03:08,2022-12-05 03:15:45,,,,,,,
35,35,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:41:58,2022-12-05 01:03:58,2022-12-05 03:15:45,,,,,,,
36,36,kay_(65298),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 05:00:50,2022-12-05 06:07:37,2022-12-05 07:53:17,,,,,,,
37,37,kay_(65298),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-02 05:27:56,2022-12-05 06:16:01,2022-12-05 07:53:17,,,,,,,
38,38,kay_(65298),chloe93(12810),Bern(25814),,,,,system(0),2023-02-07 13:02:10,2022-12-14 02:12:34,2022-12-14 07:17:16,2022-12-14 07:22:40,,,,,,,
39,39,Kyu(5850),jason_(38952),jason_(38952),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:38:23,2022-12-05 01:15:23,2022-12-05 03:15:45,,,,,,,
40,40,kay_(65298),hanpoom logi(75733),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-02 04:33:14,2022-12-05 06:20:27,2022-12-05 07:53:17,,,,,,,
41,41,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:41:23,2022-12-05 01:02:36,2022-12-05 03:15:45,,,,,,,
42,42,ming(835),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-03-22 08:48:31,2022-12-02 05:51:52,2022-12-05 06:15:34,2022-12-05 07:53:17,,,,,,,
43,43,ming(835),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-03-22 08:48:31,2022-12-02 04:41:11,2022-12-05 06:18:52,2022-12-05 07:53:17,,,,,,,
44,44,kay_(65298),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-05 05:29:46,2022-12-05 05:35:49,2022-12-05 07:53:17,,,,,,,
45,45,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:40:34,2022-12-05 00:59:33,2022-12-05 03:15:45,,,,,,,
46,46,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:40:26,2022-12-05 00:56:02,2022-12-05 03:15:45,,,,,,,
47,47,kay_(65298),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 05:22:42,2022-12-05 06:19:01,2022-12-05 07:53:17,,,,,,,
48,48,Kyu(5850),jason_(38952),,,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:39:51,2022-12-16 02:58:19,2022-12-16 02:57:53,,,,,,,
49,49,kay_(65298),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 04:43:38,2022-12-05 06:20:25,2022-12-05 07:53:17,,,,,,,
50,50,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:41:11,2022-12-05 01:02:06,2022-12-05 03:15:45,,,,,,,
51,51,kay_(65298),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 05:24:23,2022-12-05 06:13:54,2022-12-05 07:53:17,,,,,,,
52,52,kay_(65298),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 04:37:58,2022-12-05 06:18:08,2022-12-05 07:53:17,,,,,,,
53,53,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:41:01,2022-12-05 01:01:37,2022-12-05 03:15:45,,,,,,,
54,54,kay_(65298),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-02 05:03:38,2022-12-05 06:27:09,2022-12-05 07:53:17,,,,,,,
55,55,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:40:52,2022-12-05 01:00:57,2022-12-05 03:15:45,,,,,,,
56,56,Kyu(5850),jason_(38952),jason_(38952),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:38:05,2022-12-05 01:14:30,2022-12-05 03:15:45,,,,,,,
57,57,kay_(65298),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 04:49:57,2022-12-05 06:10:44,2022-12-05 07:53:17,,,,,,,
58,58,Kyu(5850),jason_(38952),jason_(38952),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:38:16,2022-12-05 01:13:54,2022-12-05 03:15:45,,,,,,,
59,59,kay_(65298),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 05:54:16,2022-12-05 06:16:49,2022-12-05 07:53:17,,,,,,,
60,60,jason_(38952),Dobby(41124),hanpoom logi(75728),,,,,system(0),2022-12-04 22:33:10,2022-12-05 00:33:24,2022-12-05 06:06:35,2022-12-05 07:53:17,,,,,,,
61,61,kay_(65298),Dobby(41124),Kyu(5850),,,,,system(0),2023-02-07 13:02:10,2022-12-05 00:36:50,2022-12-06 07:41:47,2022-12-13 11:53:02,,,,,,,
62,62,kay_(65298),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-02-07 13:02:10,2022-12-02 05:25:08,2022-12-05 06:14:51,2022-12-05 07:53:17,,,,,,,
63,63,kay_(65298),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-05 04:13:55,2022-12-05 04:41:23,2022-12-05 07:53:17,,,,,,,
64,64,kay_(65298),chloe93(12810),,,,,,system(0),2023-02-07 13:02:10,2022-12-16 00:49:32,2022-12-16 02:58:19,2022-12-16 02:57:53,,,,,,,
65,65,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:40:44,2022-12-05 01:00:18,2022-12-05 03:15:45,,,,,,,
66,66,kay_(65298),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-05 05:26:56,2022-12-05 05:31:48,2022-12-05 07:53:17,,,,,,,
67,67,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:45:34,2022-12-05 01:18:33,2022-12-05 03:15:45,,,,,,,
68,68,,,,,jman(369),,mason,system(0),2022-12-16 02:58:04,2022-12-16 02:58:11,2022-12-16 02:58:19,2022-12-16 02:57:53,,,,2022-12-02 16:45:03,2022-12-02 07:45:24,,others
69,69,Kyu(5850),jason_(38952),jason_(38952),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:36:52,2022-12-05 01:04:34,2022-12-05 03:15:45,,,,,,,
70,70,kay_(65298),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-05 04:12:18,2022-12-05 04:37:06,2022-12-05 07:53:17,,,,,,,
71,71,,,,,,,,system(0),2022-12-16 02:58:04,2022-12-16 02:58:11,2022-12-16 02:58:19,2022-12-16 02:57:53,,,2022-12-04 16:09:36,,,,
72,72,kay_(65298),chloe93(12810),Bern(25814),chloe93(12810),,,,system(0),2023-02-07 13:02:10,2022-12-14 02:13:05,2022-12-14 07:21:29,2022-12-16 02:57:53,,,2022-12-04 16:09:36,,,,
73,73,kay_(65298),,,,,,,system(0),2023-02-07 13:02:10,2022-12-16 02:58:11,2022-12-16 02:58:19,2022-12-16 02:57:53,,,,,,,
74,74,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,,2022-12-05 00:01:31,2022-12-05 00:45:16,2022-12-05 01:19:04,2022-12-28 07:39:02,,,,,,, cancelled_username
75,75,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,2023-01-10 11:31:34,,,,,2023-01-10 11:31:34, cancelled_username
76,76,Kyu(5850),jason_(38952),,chris,,,,chris,2022-12-05 00:01:31,2022-12-05 00:36:58,2023-01-09 21:27:05,2023-01-09 21:27:05,2023-01-10 11:31:34,,,,,2023-01-10 11:31:34, cancelled_username
77,77,kay_(65298),hanpoom logi(75733),hanpoom logi(75728),,,,,,2023-02-07 13:02:10,2022-12-06 05:17:05,2022-12-06 06:04:03,2023-01-03 07:41:20,,,,,,, cancelled_username
78,78,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,2023-01-10 11:31:34,,,,,2023-01-10 11:31:34, cancelled_username
79,79,Kyu(5850),jason_(38952),jason_(38952),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:37:04,2022-12-05 01:05:34,2022-12-28 07:39:02,,,,,,, cancelled_username
80,80,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:45:09,2022-12-05 01:19:43,2022-12-28 07:39:02,,,,,,, cancelled_username
81,81,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:45:03,2022-12-05 01:20:14,2022-12-28 07:39:02,,,,,,, cancelled_username
82,82,kay_(65298),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-02-07 13:02:10,2022-12-05 04:28:01,2022-12-05 05:07:49,2023-01-03 07:41:20,,,,,,, cancelled_username
83,83,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 04:10:26,2022-12-05 04:19:58,2023-01-03 07:41:20,,,,,,, cancelled_username
84,84,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 04:39:49,2022-12-05 05:12:01,2023-01-03 07:41:20,,,,,,, cancelled_username
85,85,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 00:22:57,2022-12-05 00:45:13,2023-01-03 07:41:20,,,,,,, cancelled_username
86,86,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:44:53,2022-12-05 01:20:43,2022-12-28 07:39:02,,,,,,, cancelled_username
87,87,,,,,chloe93(12810),,,system(0),2022-12-16 02:58:04,2022-12-16 02:58:11,2022-12-16 02:58:19,,,,,,2023-01-30 09:55:39,,others
88,88,Kyu(5850),jason_(38952),jason_(38952),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:37:12,2022-12-05 01:09:08,2022-12-28 07:39:02,,,,,,, cancelled_username
89,89,chloe93(12810),so young jeong(75727,Kyu(5850),,,,,system(0),2023-01-06 10:23:17,2022-12-05 00:44:45,2022-12-05 01:21:14,2022-12-28 07:39:02,,,,,,, cancelled_username
90,90,jason_(38952),Dobby(41124),hanpoom logi(75728),,,,,system(0),2022-12-04 22:33:10,2022-12-05 00:33:10,2022-12-05 06:08:09,2023-01-03 07:41:20,,,,,,, cancelled_username
91,91,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 04:08:43,2022-12-05 04:14:18,2023-01-03 07:41:20,,,,,,, cancelled_username
