id,picking_slip_id,item_id,stock_id,order_fulfillment_product_id,quantity,refunded_quantity,location_id,location_code,is_pre_order,is_sales_only,pre_order_shipping_at,pre_order_deadline_at,created_at,updated_at
1,1905,932723,1798,2,2,0,10,FZ,0,0,,,2023-04-28 07:12:44,2023-05-02 08:31:13
2,2,711025,1095,3,1,0,538,GA05-B-1-5,0,0,,,2022-12-01 02:12:42,2022-12-01 02:12:42
3,3,930222,1781,5,1,0,10,FZ,0,0,,,2022-12-01 02:12:42,2022-12-01 02:12:42
4,2,887236,1356,4,1,0,1476,UR00,0,0,,,2022-12-01 02:12:42,2022-12-01 02:12:42
5,3,931497,1982,6,1,0,10,FZ,1,0,,,2022-12-01 02:12:42,2022-12-01 02:12:42
6,4,902278,1564,1,1,0,10,FZ,0,0,,,2022-12-01 02:12:42,2022-12-01 02:12:42
7,5,858644,,7,3,0,,,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
8,1857,932747,2843,8,3,0,10,FZ,0,0,,,2023-05-02 09:31:10,2023-05-02 09:57:02
9,1857,932747,1228,9,1,0,374,GA000,0,0,,,2023-05-02 09:41:38,2023-05-02 09:41:38
10,6,922019,1562,10,4,0,795,GA08-C-3-1,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
11,6,922073,1476,11,2,0,835,GA09-A-2-1,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
12,6,888005,997,12,1,0,954,GA10-C-2-2,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
13,6,906932,1090,13,2,0,509,GA04-D-2-2,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
14,6,906973,1735,14,2,0,699,GA07-C-1-1,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
15,6,774468,1977,15,10,0,1191,GA14-D-4-1,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
16,6,774500,1391,16,5,0,1164,GA14-B-4-1,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
17,6,771897,1240,17,12,0,1101,GA13-B-1-2,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
18,6,774470,1109,18,9,0,1188,GA14-D-3-1,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
19,6,774470,1389,18,1,0,1188,GA14-D-3-1,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
20,6,744647,1602,19,12,0,1142,GA14-A-1-2,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
21,6,771896,1665,20,2,0,1053,GA12-B-1-3,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
22,6,771896,1848,20,8,0,1053,GA12-B-1-3,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
23,6,630923,1844,21,10,0,935,GA10-B-2-2,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
24,6,366813,1827,22,6,0,1242,GA15-D-2-3,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
25,6,428092,906,23,2,0,374,GA000,0,0,,,2022-12-01 02:13:41,2022-12-01 02:13:41
26,7,424214,1835,25,2,0,1091,GA13-A-2-1,0,0,,,2022-12-01 02:14:41,2022-12-01 02:14:41
27,8,140493,1598,24,10,0,721,GA07-D-1-3,0,0,,,2022-12-01 02:14:42,2022-12-01 02:14:42
28,9,925173,1621,26,7,0,1475,UR,0,0,,,2022-12-01 02:15:41,2022-12-01 02:15:41
29,10,424214,1835,27,1,0,1091,GA13-A-2-1,0,0,,,2022-12-01 02:15:41,2022-12-01 02:15:41
30,11,796811,2843,28,1,0,10,FZ,0,0,,,2022-12-01 02:16:41,2023-01-31 13:24:53
31,11,858644,,29,1,0,,,0,0,,,2022-12-01 02:16:41,2022-12-01 02:16:41
32,12,911049,1484,30,1,0,10,FZ,0,0,,,2022-12-01 02:16:41,2022-12-01 02:16:41
33,13,743592,1773,31,4,0,884,GA09-C-4-2,0,0,,,2022-12-01 02:17:42,2022-12-01 02:17:42
34,13,929995,1682,32,4,0,989,GA11-A-1-4,0,0,,,2022-12-01 02:17:42,2022-12-01 02:17:42
35,13,163031,1891,33,2,0,682,GA07-B-1-4,0,0,,,2022-12-01 02:17:42,2022-12-01 02:17:42
36,13,439475,1290,34,6,0,486,GA04-B-1-3,0,0,,,2022-12-01 02:17:42,2022-12-01 02:17:42
37,13,144253,1129,35,4,0,768,GA08-B-1-4,0,0,,,2022-12-01 02:17:42,2022-12-01 02:17:42
38,13,94047,933,36,1,0,678,GA07-A-4-5,0,0,,,2022-12-01 02:17:42,2022-12-01 02:17:42
39,13,167426,1772,37,9,0,1339,GA18-C-1-2,0,0,,,2022-12-01 02:17:42,2022-12-01 02:17:42
40,13,157603,1946,38,2,0,1214,GA15-B-1-3,0,0,,,2022-12-01 02:17:42,2022-12-01 02:17:42
41,13,112613,940,39,2,0,713,GA07-C-3-5,0,0,,,2022-12-01 02:17:42,2022-12-01 02:17:42
42,13,112611,1812,40,4,0,718,GA07-C-4-5,0,0,,,2022-12-01 02:17:42,2022-12-01 02:17:42
43,14,143397,1373,41,5,0,1637,UR18-2-3,0,0,,,2022-12-01 02:18:13,2022-12-01 02:18:13
44,14,121927,1300,42,8,0,428,GA02-C-2-3,0,0,,,2022-12-01 02:18:13,2022-12-01 02:18:13
45,14,863888,1730,43,60,52,453,GA03-C-2-5,0,0,,,2022-12-01 02:18:13,2022-12-05 21:21:25
46,15,313376,772,44,1,0,10,FZ,1,0,,,2022-12-01 02:43:50,2022-12-01 02:43:50
47,16,886303,1448,45,3,0,521,GA04-D-4-4,0,0,,,2022-12-01 03:00:30,2022-12-01 03:00:30
48,16,921226,1651,46,1,0,774,GA08-B-2-5,0,0,,,2022-12-01 03:00:30,2022-12-01 03:00:30
49,16,1126,304,47,2,0,1915,ZN1,0,0,,,2022-12-01 03:00:30,2022-12-01 03:00:30
50,16,36680,1395,48,5,0,1610,UR13-5-2,0,0,,,2022-12-01 03:00:30,2022-12-01 03:00:30
51,16,430679,1431,49,1,0,1711,UR24-2-3,0,0,,,2022-12-01 03:00:30,2022-12-01 03:00:30
52,17,919900,1265,50,1,0,10,FZ,0,0,,,2022-12-01 03:03:28,2022-12-01 03:03:28
53,17,911263,1077,51,1,0,10,FZ,0,0,,,2022-12-01 03:03:28,2022-12-01 03:03:28
54,18,896755,1321,52,6,0,618,GA06-C-2-1,0,0,,,2022-12-01 03:21:12,2022-12-01 03:21:12
55,18,269039,1832,53,9,0,1262,GA16-B-3-4,0,0,,,2022-12-01 03:21:12,2022-12-01 03:21:12
56,18,556352,1351,54,1,0,1048,GA12-A-4-3,0,0,,,2022-12-01 03:21:12,2022-12-01 03:21:12
57,18,269036,1747,55,1,0,1265,GA16-B-4-4,0,0,,,2022-12-01 03:21:12,2022-12-01 03:21:12
58,18,556360,1348,56,1,0,1041,GA12-A-2-4,0,0,,,2022-12-01 03:21:12,2022-12-01 03:21:12
59,19,799486,,64,1,0,,,0,0,,,2022-12-01 03:35:08,2022-12-01 03:35:08
60,20,780692,,65,1,0,,,0,0,,,2022-12-01 03:35:08,2022-12-01 03:35:08
61,21,900925,888,57,1,0,1578,UR09-3-4,0,0,,,2022-12-01 03:35:08,2022-12-01 03:35:08
62,21,918127,1114,58,1,0,505,GA04-D-1-3,0,0,,,2022-12-01 03:35:08,2022-12-01 03:35:08
63,21,916248,1487,59,1,0,1873,UR43-1-2,0,0,,,2022-12-01 03:35:08,2022-12-01 03:35:08
